AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
517965975540,52829880000,78106734720,33955886880,118932530970,156754861730,154839201840,47978247150,264260416000,65567113920,154136293170,117344505600,140673390000,282670999040,209971655200,183048778650,110986460100,88687981500,140710760910,409140903860,80426863260,188415311560,213119800800,30569429000,107062621640,76115272010,137258430610,199699190000,204761057350,313427677310
521689814470,51240720000,79064811840,35562852720,117282805295,161704619040,153542308610,48140453250,266242369120,66991744160,155036488680,118566844200,141428430000,282975362880,210855126400,185136291450,112372987400,89766495600,137442315600,415810811215,82613696400,186439790600,215878458120,30912673000,106157169040,76682965450,134200070430,199617730000,205625568460,320504673610
539709709220,51841500000,80485177920,36238244160,120759919410,162739739390,157301657340,48661830000,274642075200,68911156160,159448714560,121060026900,146383380000,288979631360,219027235000,186658436200,113658509400,92008830000,141548823810,435723502270,83707112970,188230106470,220935996540,31673136000,109759917280,77782871490,142956068190,203527810000,212477619480,324084801150
534664138690,53004300000,81443255040,36506071800,119186334920,160518935730,156201760550,49333826700,270300654080,68096472400,160399625310,121098831300,145439580000,288785945280,216671311800,187006355000,114420640300,90625650900,141772307250,432717967130,85259494520,186254585510,219394393920,31664259000,110455686120,77667558760,142744963780,206745480000,216127777500,317590616310
523852201840,51996540000,78736519680,35324136780,115886883570,152896685880,152869237440,52172433450,266525505280,64705511200,158827452870,119265323400,140626200000,286129679040,209934843900,184570923400,113814608500,90101627100,140822502630,419193059000,84436057350,186069380420,216960284520,31374277000,108539939040,75769333820,140864215400,203283430000,214078565980,310513620010
534220572050,52432590000,81650950080,36837945180,117257424900,159257970940,156185344180,54153665100,270583790240,65123516480,156950988990,120992119200,138455460000,288149548160,211333673300,185788639200,111537398100,92935011600,139816827150,412549244480,84355063530,183167834010,219340302600,31628751000,107462927000,76248325160,142744963780,206175260000,212189449110,326162880000
535606717800,52694220000,82816722240,38404154640,119490899660,159577917230,156661418910,54906764850,275397104960,66748618640,153553067910,123834541500,140484630000,287485481600,214977992000,184962332050,110793631800,93495595200,135738254370,411283756000,81223302490,179031587000,218258476200,31806291000,108844933600,78164290520,141401572080,205401390000,212669733060,331773480000
521301693660,52306620000,82113239040,38497312080,116191448310,155983226560,154149714300,54095734350,269356866880,66740087920,147619384830,124727042700,137039760000,278188549760,212585257500,184570923400,105963742000,93513875100,137945153340,396730638480,77173611490,179216792090,219610759200,31451211000,106481225760,77915924640,137294631740,207600810000,214526831000,332812480000
526790830830,50775600000,80042988480,37600671720,116394491470,161836361630,151227600440,53562771450,265864854240,63660498000,141812489850,123184567800,136001580000,282228288000,208131090200,185484210250,106560591500,93775887000,136408704690,390798661230,74298330880,176315245680,223451242920,31247040000,104860942160,76975682380,130059507870,206664020000,214206641700,337300960000
526679939170,50998470000,79647697920,37222219620,114973189350,156058508040,151555927840,53991459000,266903020160,63233962000,144360930660,120361547700,135954390000,282145279680,206879506000,188311050500,107442092300,94287724200,137330573880,389770451840,75162264960,179648937300,223505334240,31341728000,105947485280,77383712040,131134221230,204260950000,210716578330,332812480000
